date,uc_close,uc_return,position_target,position_realized,turnover,gross_pnl,cost,net_pnl,equity
2026-05-27,6.785999774932861,-0.0012510264684103545,0.133923700567749,0.133923700567749,0.133923700567749,-0.0001675420941577168,1.33923700567749e-05,-0.0001809344642144917,0.9998190655357855
2026-05-28,6.778800010681152,-0.0010609732523576554,0.1632698502989003,0.1632698502989003,0.029346149731151294,-0.00017322494408357174,2.9346149731151294e-06,-0.00017615955905668688,0.9996429378500642
2026-05-29,6.7795000076293945,0.00010326266406135431,,0.1632698502989003,0.0,1.685967970276295e-05,0.0,1.685967970276295e-05,0.9996597915098134
2026-06-01,6.766200065612793,-0.0019617880377069685,0.3303078476819047,0.3303078476819047,0.1670379973830044,-0.0006479939843430961,1.670379973830044e-05,-0.0006646977840813965,0.9989953198615615
2026-06-02,6.764999866485596,-0.00017738156063351607,0.3999679295467094,0.3999679295467094,0.06966008186480471,-7.094693554635151e-05,6.9660081864804715e-06,-7.791294373283198e-05,0.9989174851954158
2026-06-03,6.762199878692627,-0.0004138932517707694,0.4756565562091329,0.4756565562091329,0.07568862666242349,-0.00019687103877548377,7.568862666242348e-06,-0.0002044399014417261,0.998713266603194
2026-06-04,6.769199848175049,0.0010351615758177335,0.9609263115625276,0.9609263115625276,0.4852697553533947,0.0009947139949217883,4.8526975535339476e-05,0.0009461870193864489,0.9996582361321431
2026-06-05,6.773499965667725,0.0006352475313364803,,0.9609263115625276,0.0,0.0006104260672163651,0.0,0.0006104260672163651,1.0002684535777857
2026-06-08,6.765500068664551,-0.0011810581004978449,1.0,1.0,0.03907368843747239,-0.0011810581004978449,3.907368843747239e-06,-0.0011849654693415921,0.9990831700002244
2026-06-09,6.765500068664551,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9990831700002244
2026-06-10,6.772500038146973,0.0010346566272083635,1.0,1.0,0.0,0.0010346566272083635,0.0,0.0010346566272083635,1.0001168780231975
2026-06-11,6.772500038146973,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0001168780231975
2026-06-12,6.7754998207092285,0.0004429357763542363,,1.0,0.0,0.0004429357763542363,0.0,0.0004429357763542363,1.0005598655690098
2026-06-15,6.765999794006348,-0.0014021145235432186,0.4115795150308308,0.4115795150308308,0.5884204849691692,-0.0005770816156176023,5.884204849691692e-05,-0.0006359236641145192,0.9999235858731312
